Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1677.1199079566886
FDW14,OUT017,1265.5196970360107
NCN55,OUT010,3644.99871875454
FDQ58,OUT017,2315.997987717987
FDY38,OUT027,3840.1836336798747
FDH56,OUT046,1793.5752862430445
FDL48,OUT018,681.5801140785421
FDC48,OUT027,1457.9606167145903
FDN33,OUT045,1441.8880025295734
FDA36,OUT017,2812.175178694297
FDT44,OUT017,1738.6540185860576
FDQ56,OUT045,1278.5240425712013
NCC54,OUT019,3732.988997823656
FDU11,OUT049,1914.4861968550977
DRL59,OUT013,915.2331104535253
FDM24,OUT049,2371.833676798555
FDI57,OUT045,3029.468866797217
DRC12,OUT018,2887.5151782600633
NCM42,OUT027,1900.0951797613175
FDA46,OUT010,2901.0048402990687
FDA31,OUT013,2835.64716027569
NCJ31,OUT035,3652.8860179607746
FDG52,OUT046,708.7236636377436
NCL19,OUT019,2208.471175662256
FDS10,OUT035,2735.117890313974
FDX22,OUT010,3154.599671969786
NCF19,OUT035,669.3529587086707
NCE06,OUT046,2479.2384109960726
DRC27,OUT046,3767.912127743286
FDE21,OUT035,1743.3177608540793
NCR42,OUT019,495.3937818883006
FDX51,OUT018,2940.513416671034
NCR06,OUT018,563.0589127241088
FDU31,OUT027,3584.5240217534356
FDU59,OUT017,2460.4512767621286
FDR03,OUT027,3387.8479603102896
FDS49,OUT027,1447.039541797471
FDD48,OUT010,1665.2686713546939
NCF18,OUT017,2881.8298244108023
NCD43,OUT027,1802.2859282211884
NCD54,OUT018,2125.1235755927796
FDY19,OUT010,1698.933028314296
NCY54,OUT017,2606.8112994510543
NCL19,OUT018,2152.69622689385
FDP23,OUT010,3271.986360621582
FDC26,OUT013,1856.4760318968006
FDR14,OUT010,759.690809947483
NCS41,OUT035,2777.68442861701
FDF41,OUT035,3788.360811790953
FDU34,OUT046,1904.1399649256205
DRH11,OUT046,858.6217909783745
FDM03,OUT013,1769.0989835375717
FDS31,OUT017,2718.382850359844
