Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1832.6524426116807
FDW14,OUT017,1520.1886350488035
NCN55,OUT010,1883.4402857954487
FDQ58,OUT017,2577.2169384199183
FDY38,OUT027,5133.704489835971
FDH56,OUT046,1955.027441927648
FDL48,OUT018,596.3903421928808
FDC48,OUT027,2780.637986961915
FDN33,OUT045,1498.376879501317
FDA36,OUT017,3087.3968652121516
FDT44,OUT017,2024.6543016001683
FDQ56,OUT045,1340.1786189078546
NCC54,OUT019,1876.3200042780936
FDU11,OUT049,2060.95799023103
DRL59,OUT013,908.1269698329684
FDM24,OUT049,2556.6931189908787
FDI57,OUT045,3267.4423644266367
DRC12,OUT018,2750.6833603035066
NCM42,OUT027,3184.851120413057
FDA46,OUT010,1123.1895298313598
FDA31,OUT013,2835.3278870646595
NCJ31,OUT035,3888.5614113192632
FDG52,OUT046,772.8961031124791
NCL19,OUT019,369.5103115244476
FDS10,OUT035,3008.579229231315
FDX22,OUT010,1448.1971095857134
NCF19,OUT035,910.8418109676334
NCE06,OUT046,2528.8422654587953
DRC27,OUT046,3864.844078480227
FDE21,OUT035,2055.275921320603
NCR42,OUT019,1373.8536368902278
FDX51,OUT018,2867.6933816119376
NCR06,OUT018,415.12005471904706
FDU31,OUT027,4978.343032593666
FDU59,OUT017,2720.217811220486
FDR03,OUT027,4754.855252441754
FDS49,OUT027,2780.9985952762963
FDD48,OUT010,72.68685927026826
NCF18,OUT017,3108.1669529181204
NCD43,OUT027,3089.5487277777106
NCD54,OUT018,1979.4449796488689
FDY19,OUT010,9.298596827449842
NCY54,OUT017,2808.1699603558304
NCL19,OUT018,2025.1441206419095
FDP23,OUT010,1538.755847053932
FDC26,OUT013,1848.0887853790423
FDR14,OUT010,1083.2552193175384
NCS41,OUT035,3048.378827196542
FDF41,OUT035,4022.8061124686383
FDU34,OUT046,1987.24082135839
DRH11,OUT046,947.2087736037747
FDM03,OUT013,1736.759212336518
FDS31,OUT017,3056.9338868528444
FDJ20,OUT017,2128.1178723727094
FDV44,OUT027,4523.03633891814
FDG02,OUT049,3133.311566802319
FDA09,OUT013,2915.1055755708053
FDT04,OUT013,647.6291952207941
FDL58,OUT019,2280.773401342172
FDE52,OUT045,1391.3354415386636
FDW12,OUT035,2506.8659381561306
FDL51,OUT017,3501.8768554097983
NCY42,OUT027,3680.637858312888
FDR07,OUT017,1693.3751294180288
FDN40,OUT045,2334.944391160218
FDB35,OUT027,2978.31105361735
FDA22,OUT017,2762.9286112691193
NCL06,OUT046,4105.488112032677
FDI35,OUT013,2937.6959835266425
NCW42,OUT045,3400.170042452965
