Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2299.908484213744
FDW14,OUT017,1438.0006734331141
NCN55,OUT010,2288.1068537402402
FDQ58,OUT017,2493.2183194464274
FDY38,OUT027,5160.466720517385
FDH56,OUT046,1715.0201620774437
FDL48,OUT018,100.70057154597794
FDC48,OUT027,2773.5444647131976
FDN33,OUT045,1569.27214096115
FDA36,OUT017,2989.6805955089153
FDT44,OUT017,1965.8546163435608
FDQ56,OUT045,1452.291114175839
NCC54,OUT019,2267.315477879476
FDU11,OUT049,2525.0512528286276
DRL59,OUT013,630.690636686566
FDM24,OUT049,2982.0625866567348
FDI57,OUT045,3343.539065264004
DRC12,OUT018,2290.145209177633
NCM42,OUT027,3194.5315822148473
FDA46,OUT010,1564.673940270306
FDA31,OUT013,2616.657141280552
NCJ31,OUT035,3916.99511613185
FDG52,OUT046,589.0409406757472
NCL19,OUT019,739.0106598294178
FDS10,OUT035,3019.8446629036666
FDX22,OUT010,1810.5675678989755
NCF19,OUT035,920.0543289081138
NCE06,OUT046,2334.8853208289984
DRC27,OUT046,3632.839397087237
FDE21,OUT035,2064.0121863283935
NCR42,OUT019,979.1685698814824
FDX51,OUT018,2357.828666396557
NCR06,OUT018,44.36694672030171
FDU31,OUT027,4948.015535529867
FDU59,OUT017,2636.915992274548
FDR03,OUT027,4706.491033532087
FDS49,OUT027,2814.650718412104
FDD48,OUT010,322.7390799798941
NCF18,OUT017,3046.421258678753
NCD43,OUT027,3096.437179000683
NCD54,OUT018,1529.0487054189039
FDY19,OUT010,408.0586701555103
NCY54,OUT017,2762.675545931064
NCL19,OUT018,1551.9313739198374
FDP23,OUT010,1930.9306535483315
FDC26,OUT013,1645.2999120878435
FDR14,OUT010,584.0248387061932
NCS41,OUT035,3034.0582201493366
FDF41,OUT035,4070.387288111831
FDU34,OUT046,1791.5248587317778
DRH11,OUT046,709.1000856305182
FDM03,OUT013,1507.7386291371104
FDS31,OUT017,2942.7033302598998
FDJ20,OUT017,2028.066676537942
FDV44,OUT027,4495.598188812952
FDG02,OUT049,3613.4213838110213
FDA09,OUT013,2644.8938064619947
FDT04,OUT013,443.211458360478
FDL58,OUT019,2648.3936297923415
FDE52,OUT045,1482.1266364726434
FDW12,OUT035,2460.5968574280328
FDL51,OUT017,3427.499410591619
NCY42,OUT027,3687.8366608935926
FDR07,OUT017,1630.2317560614056
FDN40,OUT045,2456.8435409018343
FDB35,OUT027,2918.8004778097006
FDA22,OUT017,2661.235450502931
NCL06,OUT046,3911.4581703519475
FDI35,OUT013,2669.786733909143
NCW42,OUT045,3506.0568375188172
NCX06,OUT049,3400.3849422994504
FDC37,OUT027,3196.393863177815
FDZ14,OUT018,1226.9473669921822
DRG49,OUT049,4415.659210553573
NCG06,OUT045,4045.5386550302824
DRC36,OUT045,2758.985396175533
FDV21,OUT019,491.86263262695
FDB53,OUT046,2161.3906880713785
DRP47,OUT019,2454.6061613753395
FDA14,OUT013,2107.422247896743
DRC24,OUT035,2557.8138507288477
FDW21,OUT018,888.1673093262834
NCH29,OUT046,1337.285747898874
FDU58,OUT013,2785.5153156003275
FDY27,OUT017,2845.4094534620294
FDV56,OUT035,1945.7403933192072
FDT59,OUT046,3438.101469791022
FDB23,OUT046,3359.240102169239
FDR49,OUT045,849.7338095791583
FDB03,OUT010,2321.095423223888
FDN39,OUT045,2660.7024981311447
FDX02,OUT027,4987.653018114799
FDQ16,OUT027,3190.119985257306
FDU35,OUT018,870.0001784774759
NCT29,OUT013,1723.2679322940899
FDZ27,OUT046,595.1932680553227
FDN57,OUT017,2265.4107889726088
FDA03,OUT018,1589.0214949898686
FDZ36,OUT045,2971.47294781313
NCU05,OUT013,1084.6663236718637
FDT39,OUT018,1675.1416115817797
FDK60,OUT017,1592.0737757681286
FDZ25,OUT017,2767.1374925611985
FDG12,OUT046,1747.9723649110138
DRB01,OUT019,1505.8075722898925
NCC43,OUT027,5390.47300476764
FDX13,OUT019,2472.0677825243233
FDM22,OUT049,1445.9660672647628
FDJ03,OUT027,2271.9147323207517
FDU14,OUT018,3212.2635188703475
FDB33,OUT010,1068.4770425350966
FDP27,OUT046,2816.108651749221
FDO38,OUT010,206.88432289427783
FDE28,OUT027,5126.756703831727
FDO27,OUT035,1689.6983933811744
DRL23,OUT027,3154.0552520838705
FDS28,OUT046,717.1146939730615
FDX24,OUT013,1287.2708813273757
FDZ02,OUT035,1705.2412792180253
FDL46,OUT045,1899.6870280663702
FDS60,OUT027,4296.14887406151
NCO06,OUT017,567.1860420561009
FDO16,OUT035,1522.1736978494787
FDC60,OUT049,1980.2804284462704
FDA48,OUT018,2751.5620352867095
FDZ36,OUT027,4415.48657181427
FDK27,OUT045,1957.7975366743672
FDW23,OUT018,75.18929454639647
FDM14,OUT018,1087.9811693183756
FDM14,OUT013,1583.5397705712935
FDW60,OUT018,2091.2246966010794
FDE21,OUT013,1704.1117801987634
NCM42,OUT035,1882.9184972559842
FDY59,OUT010,9.958371351694723
DRI49,OUT049,1861.2122592176906
FDT28,OUT019,903.2706968411017
FDQ22,OUT018,63.25552477112046
FDR60,OUT049,1811.6898281710014
FDC50,OUT019,73.7852261636242
FDV24,OUT013,2210.7246242878437
DRF48,OUT010,1456.5141529204056
FDQ47,OUT046,415.2423672235425
DRN36,OUT049,2111.2884721266996
NCY06,OUT035,2182.2070958405247
FDE52,OUT035,1598.9437728310927
NCB54,OUT045,2030.1216025280341
NCF31,OUT035,2556.2960273074427
FDJ08,OUT027,4512.206979393375
NCC07,OUT017,1705.4071241245588
NCD19,OUT027,2322.9549867888454
FDL46,OUT049,2472.641152922375
FDM20,OUT045,3958.470034038832
NCI06,OUT010,1333.034386734284
DRM11,OUT035,4219.440912100134
NCH07,OUT018,1764.074468015871
FDS23,OUT013,1863.1274773834343
FDO49,OUT018,85.07665201517125
FDS35,OUT049,1636.373431297392
DRK39,OUT045,1338.0845061029595
DRI39,OUT049,1502.2548117567699
FDV04,OUT017,2539.8874938039567
NCN14,OUT035,3023.1498382706563
FDH08,OUT013,3490.7769480245547
FDS20,OUT046,2741.6547308880786
FDV40,OUT049,1794.096166540959
FDZ48,OUT010,268.7706398052585
FDS24,OUT027,2874.7150316171496
FDK44,OUT049,3380.7363546793154
FDS48,OUT045,2422.1081363195804
FDK26,OUT010,1510.8024712918136
FDD23,OUT045,3016.131863224446
NCH54,OUT017,2568.65906583686
NCP14,OUT010,180.86927594433587
FDM60,OUT010,839.8419771639251
FDV24,OUT017,2435.1078108384304
FDH08,OUT018,2929.7680554995554
FDS12,OUT027,3499.3726115178865
FDR39,OUT027,4325.1838699420205
FDP12,OUT027,2078.964156970121
DRF60,OUT027,5169.964740110929
FDC09,OUT035,1848.7118948486163
FDF50,OUT018,2466.354953466781
FDG28,OUT035,4004.4445613149414
NCE19,OUT017,916.8744816006802
NCM53,OUT010,207.32054365986664
NCN18,OUT049,2322.8986138509467
FDF32,OUT035,3351.09839755493
FDF11,OUT013,3576.591169442208
DRI59,OUT049,4103.370937450183
NCG54,OUT035,2819.7833165661555
FDM44,OUT046,1469.578453126605
FDT57,OUT018,3001.105295823932
FDV24,OUT046,2201.3745826775466
FDI50,OUT019,2148.338175170466
FDS09,OUT035,1001.3109298646518
NCC31,OUT027,3894.319863134859
FDQ07,OUT019,2003.783521576885
FDC22,OUT017,3067.4355415401465
FDZ56,OUT046,2528.4457320484703
FDZ40,OUT019,613.6333038054678
FDS46,OUT027,3355.1014694710007
DRD24,OUT045,2243.3306013676415
FDV45,OUT017,3024.9489524629557
FDL26,OUT045,2557.0451742583564
FDA56,OUT018,1281.673621018906
FDN27,OUT046,1686.7451757662507
FDM20,OUT049,4481.5572703065845
FDO16,OUT017,1367.956395049841
FDL03,OUT035,3251.71322811689
FDE58,OUT046,1668.5375280704652
FDI02,OUT027,3311.0724776276143
NCC55,OUT019,873.2824653254033
FDR03,OUT018,2526.9522190436132
FDB14,OUT017,1572.4047590001032
FDR45,OUT013,3599.4738379431424
NCN07,OUT017,2078.3491171539476
FDM51,OUT019,139.63098176437006
FDT52,OUT027,5326.966028152485
FDL26,OUT046,2301.495182340113
NCZ42,OUT046,3543.1506812807297
DRI47,OUT019,789.9029363142654
FDW40,OUT013,2045.169670855384
FDN34,OUT046,2482.00361488847
FDS01,OUT035,3034.951567564873
NCG55,OUT045,1863.1298593681263
FDC11,OUT035,1565.6856748232653
FDX35,OUT018,2848.0575813855144
NCB06,OUT046,2319.3424349921474
FDR09,OUT019,2596.0240467330673
FDC53,OUT017,1587.8911904877891
FDY45,OUT013,3822.5253139178553
FDA22,OUT010,1172.0064761237272
FDE02,OUT035,1740.1141718434005
FDW21,OUT045,1648.6259441077427
FDV34,OUT046,992.0838343292194
FDS59,OUT049,2320.0858740087656
NCW17,OUT017,2045.172052840076
NCK54,OUT046,1646.4978573124758
FDG17,OUT019,2352.181194897589
FDG35,OUT017,2774.3397871821603
FDD08,OUT010,819.8511277194555
NCO07,OUT017,3342.593176726528
FDJ10,OUT010,763.2226569215331
FDW36,OUT017,1698.9042345268476
FDW21,OUT010,120.43846301896656
FDY19,OUT017,1961.1795955384123
DRE03,OUT013,553.4281261801432
NCC55,OUT049,1188.900633909806
FDH52,OUT010,462.6363651602412
FDO09,OUT017,4202.047507547029
FDU43,OUT045,3853.1573987015167
FDX09,OUT010,1273.6289617055108
FDH40,OUT019,158.6322289235743
FDW58,OUT017,1705.137595600379
FDC47,OUT017,3618.8916456738666
NCR41,OUT035,1649.4510749274
DRG49,OUT035,3992.2473676920586
FDC52,OUT027,3883.2635032729327
FDY13,OUT046,1059.027369677914
FDY35,OUT013,531.3823507455807
FDI35,OUT017,2909.7533231435577
NCU18,OUT049,2798.1175953748393
FDY33,OUT018,1790.2967240541998
FDC15,OUT027,3965.2010345845033
FDU01,OUT049,3577.168155807362
NCU42,OUT046,2462.014719923673
NCV29,OUT018,2063.4035834473893
NCY30,OUT017,2902.231150325824
FDQ46,OUT049,2366.7955652132737
FDG58,OUT027,3907.0500091295294
FDK33,OUT017,3400.5151905043017
NCD07,OUT045,1854.3127701296157
NCX29,OUT027,3735.5717399946957
NCT42,OUT013,2131.518799124497
DRN59,OUT035,893.603061192583
FDI44,OUT035,1479.3790178808026
FDA45,OUT049,3396.587331407651
FDP31,OUT045,1145.7032497741934
FDY01,OUT046,1691.9690864453742
FDT09,OUT018,1389.8375585657072
DRH03,OUT027,2962.6630170016238
FDA36,OUT018,2229.221960727456
NCF31,OUT017,2442.5955714857596
FDG14,OUT049,3028.7882153634305
FDG28,OUT027,5336.316069762781
FDU14,OUT049,4517.62615367692
FDY47,OUT019,589.4240834693283
FDI56,OUT049,2072.366332067205
DRD01,OUT013,699.7500440202211
FDM22,OUT046,700.0539847148061
FDH33,OUT013,503.37274276166704
DRZ24,OUT013,1665.6498592109015
NCQ38,OUT046,1459.6996093414214
FDO16,OUT027,2819.761720392896
FDU07,OUT027,3880.3311673694902
NCB07,OUT013,2851.032551161699
FDU48,OUT045,2136.2711309317206
NCM43,OUT045,2625.2112341764746
FDR31,OUT010,840.7100289082568
DRK49,OUT018,64.58485336230115
NCI30,OUT010,2334.7355112507926
DRD60,OUT017,2875.206413391528
NCG19,OUT046,3487.623900837711
FDH12,OUT035,1840.1218628076363
FDM32,OUT035,1676.5121785117722
FDM27,OUT035,2635.9132543016426
NCU53,OUT027,4068.65138895885
NCQ18,OUT046,1365.2953558827871
FDS10,OUT013,2636.5691527482936
FDB33,OUT027,4007.953001988974
FDI12,OUT013,1183.4760694114661
NCW42,OUT013,3270.7652690895516
NCC06,OUT018,1299.2714328458492
FDW02,OUT017,2038.7501969363207
NCD43,OUT017,1677.3569992936677
FDM57,OUT018,613.1981689701256
FDA58,OUT017,3768.8631964224974
FDK56,OUT046,2775.324230726758
FDP52,OUT045,3680.159351665607
FDW20,OUT018,1296.191118959161
FDS52,OUT049,2183.6469501507718
NCT29,OUT018,1162.2590397690906
NCL54,OUT013,2572.0023760661356
FDC05,OUT045,3167.088285022695
FDF34,OUT035,3270.372794490507
FDP03,OUT027,3449.5462397766128
FDD32,OUT010,112.72306413536103
FDZ10,OUT045,2064.1760767552555
FDZ40,OUT035,1046.954716325586
FDD51,OUT018,2.073215960026346
NCY30,OUT019,1319.501759843647
FDP58,OUT017,3473.6356325773627
FDV49,OUT017,4248.240183881939
FDY24,OUT019,637.0084078312108
NCO55,OUT017,1722.5083502297925
FDR13,OUT017,1946.9861259918307
FDS51,OUT017,1043.7343521711746
FDP26,OUT045,1709.3201808807185
NCB54,OUT027,3499.068670823301
FDF32,OUT017,3193.764414218526
FDN31,OUT018,2311.917305891115
DRM48,OUT017,614.3881687854177
FDN20,OUT049,3297.73291862417
DRL01,OUT046,3453.873367305075
FDV56,OUT049,2334.8687502762996
DRH13,OUT027,3163.938246065955
FDA03,OUT017,2346.3634492345623
FDF47,OUT027,4999.094352365266
FDX32,OUT046,2172.0720127525287
FDX57,OUT049,2122.952713377796
NCA30,OUT045,3022.061283603392
FDO49,OUT013,613.3603989041303
FDL04,OUT019,184.7418158535172
DRM48,OUT035,759.255429974759
FDR16,OUT013,3153.7822878245684
NCC19,OUT018,2297.3634413007826
NCE42,OUT045,3721.8900813703817
FDY24,OUT017,933.2542605039025
FDH19,OUT049,3353.527273111697
FDJ46,OUT013,2547.3323556196165
FDN45,OUT010,2046.12628286773
FDY08,OUT035,2429.2029948628456
FDZ37,OUT035,1605.1930714068117
NCT30,OUT045,790.2780348777924
DRY23,OUT018,52.158648062216116
NCZ30,OUT018,1191.3750693435563
FDC44,OUT018,1130.6766823736793
FDB45,OUT035,1878.2798431009128
FDY04,OUT013,2388.624749326432
FDM27,OUT046,2321.2047159551153
FDZ43,OUT017,3881.126489838453
FDT39,OUT019,894.9460431274001
NCC06,OUT019,495.70076036572686
FDL15,OUT027,3903.481409914932
FDL57,OUT017,4090.460994289206
FDU08,OUT046,1427.5842995742237
FDK40,OUT017,4192.697465936733
FDQ12,OUT010,2116.1300444040253
FDS48,OUT017,2433.0165181982607
FDP09,OUT045,3382.348059655494
FDW21,OUT049,2162.3631387651985
FDY25,OUT035,3077.4786734890426
DRE13,OUT017,1384.7536804604892
FDV43,OUT019,744.1469574814157
FDD22,OUT045,1818.7748846513946
FDM46,OUT019,9.274664240686661
NCO30,OUT010,1403.0786651175572
FDM25,OUT046,2553.0327643213614
NCN41,OUT049,2508.6309570784274
FDU24,OUT045,1531.3795389951524
FDZ50,OUT046,2708.7047237717366
FDP45,OUT013,3763.881852938072
NCM54,OUT045,2018.1878327527584
FDW10,OUT019,1278.3039825106594
FDP20,OUT017,2114.7602623486177
FDK32,OUT046,2243.5935977102295
FDN52,OUT049,1986.0213539949932
FDM58,OUT045,1807.8665027727147
FDZ46,OUT027,3237.3626288336004
NCA18,OUT018,1120.3054030636872
FDD35,OUT046,1743.8302964776517
NCK31,OUT035,949.0893247886233
FDI40,OUT027,3077.0561654250546
FDT50,OUT019,69.62722022807475
NCT06,OUT046,2387.78785626006
FDT31,OUT035,3175.7009669873646
FDT45,OUT049,1446.4585027895714
FDT13,OUT045,3045.1827966071437
FDO50,OUT045,1546.9788791811688
NCU18,OUT010,715.6760726506532
NCR54,OUT049,3634.3448001528436
NCO18,OUT018,2072.7536250576863
FDU09,OUT045,954.5380718894758
FDT13,OUT018,2294.074203435981
FDE09,OUT046,1638.2500870958302
NCK53,OUT019,96.3074996208079
FDG45,OUT049,3987.186286884266
DRH15,OUT035,880.1514679959018
FDO21,OUT019,2037.268676782242
FDD14,OUT027,4433.177204640457
FDC09,OUT046,1490.3698289873691
FDH45,OUT027,2229.160569199053
FDV32,OUT046,903.1529323747995
FDG12,OUT035,2059.564222720775
FDS32,OUT013,2073.9776095383636
NCL55,OUT018,3209.335333163806
DRE01,OUT035,3973.5878013184415
DRE15,OUT049,1793.7922258463736
NCL42,OUT045,3901.389063524331
FDP31,OUT013,887.0365773191838
FDN33,OUT018,777.6467008120335
FDZ59,OUT046,2414.010112298389
FDE45,OUT010,1368.831545863211
FDJ07,OUT013,1690.3948086748037
FDQ45,OUT018,2194.446039298224
FDM33,OUT027,4925.933393445226
FDO15,OUT010,274.3202937677818
FDM46,OUT013,1286.7379289555888
FDR03,OUT045,3282.7358330199245
FDY49,OUT018,1965.217656599144
FDQ60,OUT045,1928.7220239468793
FDW10,OUT049,3363.862185771612
FDO51,OUT049,1314.2426810588954
FDJ40,OUT018,1015.2561915739802
FDS20,OUT018,2204.0209423888223
FDU45,OUT013,1597.467861790596
FDV02,OUT035,2843.421844439505
FDN09,OUT046,3620.676615634759
NCM55,OUT027,4394.472288952877
FDN23,OUT018,1573.9710446778267
FDY31,OUT010,852.1108463117457
FDW03,OUT010,206.06614408606856
FDD14,OUT046,2755.4303524784323
FDV23,OUT017,2036.1664687713414
DRI03,OUT045,2790.1116846962127
FDN13,OUT035,1751.418018050746
FDF45,OUT027,2486.455014231212
FDU46,OUT035,1566.2591440420306
FDB57,OUT049,4128.792667072217
FDV12,OUT049,2171.753697222474
FDQ58,OUT013,2200.268161086994
NCA18,OUT017,1858.9472740877864
FDH52,OUT049,1574.613289780842
FDM24,OUT018,1659.5582088979504
NCP43,OUT027,4308.3521723609665
NCO18,OUT019,1270.741292845947
FDM32,OUT017,1542.5532992011117
NCL07,OUT017,643.4231646659277
FDK03,OUT013,3791.3585085501986
