Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1784.0860781715933
FDW14,OUT017,1313.8745477074133
NCN55,OUT010,2581.31313840712
FDQ58,OUT017,2364.683414378705
FDY38,OUT027,4247.855690060027
FDH56,OUT046,1966.061606689077
FDL48,OUT018,698.4823774691504
FDC48,OUT027,1870.9061764405033
FDN33,OUT045,1539.2403823768236
FDA36,OUT017,2859.071433405153
FDT44,OUT017,1795.3575534054326
FDQ56,OUT045,1378.5825877802022
NCC54,OUT019,2806.679986637508
FDU11,OUT049,2008.2881832266653
DRL59,OUT013,1144.8052679816424
FDM24,OUT049,2463.390089046946
FDI57,OUT045,3138.139876449213
DRC12,OUT018,2903.8709430955228
NCM42,OUT027,2315.225971557811
FDA46,OUT010,1835.811188791497
FDA31,OUT013,3053.217136796093
NCJ31,OUT035,3738.748812999025
FDG52,OUT046,888.952335269084
NCL19,OUT019,1284.7605420083626
FDS10,OUT035,2820.2551286792354
FDX22,OUT010,2080.6774541978616
NCF19,OUT035,754.3294716418281
NCE06,OUT046,2652.5940389309303
DRC27,OUT046,3945.1251646349224
FDE21,OUT035,1824.25066925984
NCR42,OUT019,426.24000459156264
FDX51,OUT018,2946.1800199817985
NCR06,OUT018,579.112556010595
FDU31,OUT027,3992.126618821652
FDU59,OUT017,2507.78070743318
FDR03,OUT027,3795.776747919854
FDS49,OUT027,1860.1240657375306
FDD48,OUT010,599.0652265230917
NCF18,OUT017,2940.666623497595
NCD43,OUT027,2217.5414141987576
NCD54,OUT018,2145.9543582433175
FDY19,OUT010,639.8628215693132
NCY54,OUT017,2658.1064218541555
NCL19,OUT018,2168.741421220065
FDP23,OUT010,2200.537653748262
FDC26,OUT013,2078.3672158198347
FDR14,OUT010,303.9101637509691
NCS41,OUT035,2859.5008943208836
FDF41,OUT035,3866.4085071368086
FDU34,OUT046,2086.412184331323
DRH11,OUT046,1033.6014577281314
FDM03,OUT013,1993.0972936973635
FDS31,OUT017,2768.1249193207545
FDJ20,OUT017,1857.3096868947914
FDV44,OUT027,3541.599506086052
FDG02,OUT049,3040.394401914045
FDA09,OUT013,3125.5013504610984
FDT04,OUT013,933.0177981631532
FDL58,OUT019,3161.074371418627
FDE52,OUT045,1452.458978414299
FDW12,OUT035,2263.3439029425463
FDL51,OUT017,3295.061008278714
NCY42,OUT027,2806.4699842105947
FDR07,OUT017,1461.1369508837615
FDN40,OUT045,2423.103441704165
FDB35,OUT027,2015.5552988995505
FDA22,OUT017,2531.9985571209445
NCL06,OUT046,4222.579847537318
FDI35,OUT013,3150.290273369745
NCW42,OUT045,3493.0246393221764
NCX06,OUT049,2905.0562558824345
FDC37,OUT027,2291.9888780537367
FDZ14,OUT018,1820.0236284008747
DRG49,OUT049,3916.0886312557145
NCG06,OUT045,4030.252460891263
DRC36,OUT045,2749.074519111127
FDV21,OUT019,1013.5535242887775
FDB53,OUT046,2454.7326861890783
DRP47,OUT019,2993.1881554555052
FDA14,OUT013,2590.27538882391
DRC24,OUT035,2385.246309989365
FDW21,OUT018,1482.6590195055385
NCH29,OUT046,1659.1625126643162
FDU58,OUT013,3265.5353322709457
FDY27,OUT017,2715.403067129795
FDV56,OUT035,1706.473024770376
FDT59,OUT046,3726.109273449933
FDB23,OUT046,3647.5773946021177
FDR49,OUT045,770.9917173489716
FDB03,OUT010,2589.0722854299843
FDN39,OUT045,2626.1106607515803
FDX02,OUT027,4075.764016410512
FDQ16,OUT027,2285.7412128709266
FDU35,OUT018,1464.5677923070277
NCT29,OUT013,2232.8176927981644
FDZ27,OUT046,895.0789577583375
FDN57,OUT017,2137.827681041814
FDA03,OUT018,2180.584983235766
FDZ36,OUT045,2935.582687929123
NCU05,OUT013,1596.884210121815
FDT39,OUT018,2266.3452834500818
FDK60,OUT017,1467.3039209375343
FDZ25,OUT017,2585.7415130601125
FDG12,OUT046,2043.0416561323195
DRB01,OUT019,2048.353718822496
NCC43,OUT027,4501.9925843293095
FDX13,OUT019,2933.7686075544093
FDM22,OUT049,933.7114973949351
FDJ03,OUT027,1371.3722911084917
FDU14,OUT018,3797.0449788503015
FDB33,OUT010,1297.521915909683
FDP27,OUT046,3106.7151885675207
FDO38,OUT010,19.938011030536927
FDE28,OUT027,4214.286516380305
FDO27,OUT035,1495.6663111355774
DRL23,OUT027,2274.9187546034354
FDS28,OUT046,1016.4909867133108
FDX24,OUT013,1773.5506768560103
FDZ02,OUT035,1511.1442576167874
FDL46,OUT045,1868.2747710284125
FDS60,OUT027,3387.149029107722
NCO06,OUT017,471.78983960998335
FDO16,OUT035,1328.8415464851832
FDC60,OUT049,1465.7934526584581
FDA48,OUT018,3338.2683409999922
FDZ36,OUT027,3505.9881249099135
FDK27,OUT045,1926.1424895249352
FDW23,OUT018,523.3273925750088
FDM14,OUT018,1629.921422681887
FDM14,OUT013,2016.8651128578017
FDW60,OUT018,2680.6899417886593
FDE21,OUT013,2144.484459431067
NCM42,OUT035,1713.1707204805125
FDY59,OUT010,287.59133941364985
DRI49,OUT049,1372.3143529857966
FDT28,OUT019,1423.2426944136375
FDQ22,OUT018,535.211302155228
FDR60,OUT049,1297.907236695336
FDC50,OUT019,545.5062575755499
FDV24,OUT013,2693.146160053047
DRF48,OUT010,1753.1948949508464
FDQ47,OUT046,715.8799054358792
DRN36,OUT049,1621.3457285140353
NCY06,OUT035,2011.2088686051625
FDE52,OUT035,1405.2908702720617
NCB54,OUT045,2023.2559736631065
NCF31,OUT035,2383.7348281493105
FDJ08,OUT027,3558.1389038799903
NCC07,OUT017,1605.2553476864455
NCD19,OUT027,1447.2908892390064
FDL46,OUT049,1956.09705669207
FDM20,OUT045,3874.290502072879
NCI06,OUT010,1630.2310365912997
DRM11,OUT035,4039.9309674973406
NCH07,OUT018,2379.99816538219
FDS23,OUT013,2347.0013003866375
FDO49,OUT018,682.9237358589025
FDS35,OUT049,1123.3233250220776
DRK39,OUT045,1334.1102607039525
DRI39,OUT049,1014.8566569600512
FDV04,OUT017,2411.157601386854
NCN14,OUT035,2848.6380884888736
FDH08,OUT013,3923.6848047031613
FDS20,OUT046,2988.4068184216935
FDV40,OUT049,1280.3870827177084
FDZ48,OUT010,545.3222705839232
FDS24,OUT027,1971.654045044184
FDK44,OUT049,2816.2326444234914
FDS48,OUT045,2388.5131642762353
FDK26,OUT010,1730.4481795386168
FDD23,OUT045,2980.055015005373
NCH54,OUT017,2464.900557326022
NCP14,OUT010,482.87975900271954
