Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1839.1267752584395
FDW14,OUT017,1510.0843681916654
NCN55,OUT010,1958.20855900696
FDQ58,OUT017,2553.936928997757
FDY38,OUT027,5093.173376827503
FDH56,OUT046,1915.2350338540723
FDL48,OUT018,606.6711986104456
FDC48,OUT027,2713.7697808855423
FDN33,OUT045,1515.3749887593663
FDA36,OUT017,3060.946425810646
FDT44,OUT017,2011.456593016986
FDQ56,OUT045,1352.658142526599
NCC54,OUT019,1966.32758456609
FDU11,OUT049,2078.252822924685
DRL59,OUT013,913.1852897655131
FDM24,OUT049,2570.5396056652394
FDI57,OUT045,3161.3138558984406
DRC12,OUT018,2761.55461135354
NCM42,OUT027,3122.0447052869245
FDA46,OUT010,1215.4852554810298
FDA31,OUT013,2850.4926319719048
NCJ31,OUT035,3889.9982234937493
FDG52,OUT046,742.4246814410074
NCL19,OUT019,437.1263258046058
FDS10,OUT035,2989.6371420069468
FDX22,OUT010,1513.8579967953397
NCF19,OUT035,892.9723507383517
NCE06,OUT046,2499.5856861757907
DRC27,OUT046,3797.2217699391254
FDE21,OUT035,2030.811536962999
NCR42,OUT019,1296.7134242008708
FDX51,OUT018,2869.0052866381734
NCR06,OUT018,417.8021488728991
FDU31,OUT027,4908.222775347289
FDU59,OUT017,2707.3308642905154
FDR03,OUT027,4685.490482345458
FDS49,OUT027,2722.181312455847
FDD48,OUT010,4.396304185329768
NCF18,OUT017,3097.019221451881
NCD43,OUT027,3024.8656134033286
NCD54,OUT018,1985.3150369316877
FDY19,OUT010,59.723819419100096
NCY54,OUT017,2810.8371010314095
NCL19,OUT018,2025.9260822220726
FDP23,OUT010,1607.4136580466406
FDC26,OUT013,1866.5252973860684
FDR14,OUT010,964.5412912068862
NCS41,OUT035,3030.3878954540596
FDF41,OUT035,4021.4796890129905
FDU34,OUT046,1955.0043655076288
DRH11,OUT046,914.5190536390685
FDM03,OUT013,1757.443776921738
FDS31,OUT017,3032.3677259303454
FDJ20,OUT017,2112.543959547356
FDV44,OUT027,4455.3073346133715
FDG02,OUT049,3136.68338810238
FDA09,OUT013,2926.1792897127393
FDT04,OUT013,669.6971842289599
FDL58,OUT019,2364.165217157742
FDE52,OUT045,1405.221987056695
FDW12,OUT035,2484.51216446871
FDL51,OUT017,3492.88412278678
NCY42,OUT027,3615.692686652928
FDR07,OUT017,1676.353514853697
FDN40,OUT045,2351.0276577384916
FDB35,OUT027,2910.1195333703367
FDA22,OUT017,2741.978387640252
NCL06,OUT046,4072.946473287248
FDI35,OUT013,2937.623257613564
NCW42,OUT045,3409.4275576839427
NCX06,OUT049,2937.8053696484426
FDC37,OUT027,3135.047824412834
FDZ14,OUT018,1699.7598826677581
DRG49,OUT049,3967.195333067803
NCG06,OUT045,3950.8538274418756
DRC36,OUT045,2721.273382778813
FDV21,OUT019,158.61913277502993
FDB53,OUT046,2308.307771681974
DRP47,OUT019,2160.1119847093455
FDA14,OUT013,2320.774569479439
DRC24,OUT035,2543.6205351865588
FDW21,OUT018,1392.84769204941
NCH29,OUT046,1533.7508591706674
FDU58,OUT013,3071.6214273763285
FDY27,OUT017,2876.9658012688174
FDV56,OUT035,1952.294702883079
FDT59,OUT046,3619.988346190866
FDB23,OUT046,3590.273278739585
FDR49,OUT045,736.2614688608148
FDB03,OUT010,1977.5132230811337
FDN39,OUT045,2615.883291079655
FDX02,OUT027,4884.573383700419
FDQ16,OUT027,3104.615114583991
FDU35,OUT018,1344.1707673469539
NCT29,OUT013,1991.9311363432162
FDZ27,OUT046,739.1071824651938
FDN57,OUT017,2320.2813899089356
FDA03,OUT018,2058.1401253311656
FDZ36,OUT045,2929.9846888646257
NCU05,OUT013,1354.6202100342796
FDT39,OUT018,2188.8911497008535
FDK60,OUT017,1695.652944986015
FDZ25,OUT017,2845.6916914294948
FDG12,OUT046,1969.8476455506393
DRB01,OUT019,1196.5399005709223
NCC43,OUT027,5311.401136555514
FDX13,OUT019,2132.7511232268903
FDM22,OUT049,1026.0332657149063
FDJ03,OUT027,2210.7773824161436
FDU14,OUT018,3637.7014334914224
FDB33,OUT010,723.0493652646035
FDP27,OUT046,2989.2546276221724
FDO38,OUT010,568.8255869505529
FDE28,OUT027,5073.270793550562
FDO27,OUT035,1706.0647786888007
DRL23,OUT027,3121.016998094115
FDS28,OUT046,911.0654490102031
FDX24,OUT013,1545.3535250159125
FDZ02,OUT035,1692.2511648047525
FDL46,OUT045,1805.4665595615766
FDS60,OUT027,4233.6612917459515
NCO06,OUT017,618.8638070224408
FDO16,OUT035,1485.7967352456158
FDC60,OUT049,1567.717967760279
FDA48,OUT018,3214.7976917294745
FDZ36,OUT027,4390.220742266147
FDK27,OUT045,1879.9594109270306
FDW23,OUT018,395.2640279952441
FDM14,OUT018,1530.7565366960016
FDM14,OUT013,1811.1656605628
FDW60,OUT018,2603.863472867447
FDE21,OUT013,1942.8582307941638
NCM42,OUT035,1857.458823637995
FDY59,OUT010,316.27893932871376
DRI49,OUT049,1405.7376583963917
FDT28,OUT019,568.6762546230591
FDQ22,OUT018,397.14159688707537
FDR60,OUT049,1355.345864371892
FDC50,OUT019,273.27096066962537
FDV24,OUT013,2462.7811616143704
DRF48,OUT010,1132.7744817297623
FDQ47,OUT046,632.3981911164628
DRN36,OUT049,1664.0585661715418
NCY06,OUT035,2151.336279219666
FDE52,OUT035,1585.4978881113962
NCB54,OUT045,1965.4653972850347
NCF31,OUT035,2527.602746239275
FDJ08,OUT027,4427.163918839808
NCC07,OUT017,1761.364008651245
NCD19,OUT027,2252.3932598181477
FDL46,OUT049,2007.5694481338783
FDM20,OUT045,3859.523124080383
NCI06,OUT010,991.4851251490916
DRM11,OUT035,4226.8395857275755
NCH07,OUT018,2218.398598159821
FDS23,OUT013,2118.1357460172617
FDO49,OUT018,597.4801923153739
FDS35,OUT049,1187.8404878913354
DRK39,OUT045,1249.3076787309842
DRI39,OUT049,1038.9105825434792
FDV04,OUT017,2618.004699823791
NCN14,OUT035,3003.145329740337
FDH08,OUT013,3729.679943375088
FDS20,OUT046,2901.675601218242
FDV40,OUT049,1320.9868564151086
FDZ48,OUT010,65.73773484203622
FDS24,OUT027,2851.841239734236
