Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1726.2314450990525
FDW14,OUT017,1584.316939073562
NCN55,OUT010,548.5823626551065
FDQ58,OUT017,2604.466066043566
FDY38,OUT027,6126.455149565478
FDH56,OUT046,1872.3827551491645
FDL48,OUT018,538.4085769477143
FDC48,OUT027,1944.7469878582065
FDN33,OUT045,1539.2761352623052
FDA36,OUT017,3169.7191486231277
FDT44,OUT017,2017.500528764925
FDQ56,OUT045,1270.9167224437292
NCC54,OUT019,563.1787722923941
FDU11,OUT049,2147.657575435946
DRL59,OUT013,917.0842567426369
FDM24,OUT049,2800.7627606594197
FDI57,OUT045,4004.613920733141
DRC12,OUT018,2815.313419074989
NCM42,OUT027,2956.860261831048
FDA46,OUT010,504.94919150553267
FDA31,OUT013,3016.92734576907
NCJ31,OUT035,3564.644588920592
FDG52,OUT046,795.3744327123879
NCL19,OUT019,269.29739050257376
FDS10,OUT035,3200.734806541101
FDX22,OUT010,396.7763280704221
NCF19,OUT035,952.3402000893955
NCE06,OUT046,2311.5398887265974
DRC27,OUT046,3688.5795615920483
FDE21,OUT035,2004.5848564021303
NCR42,OUT019,180.357795241119
FDX51,OUT018,2790.111635550352
NCR06,OUT018,547.2545042501026
FDU31,OUT027,5964.5981313758075
FDU59,OUT017,2591.9585340718663
FDR03,OUT027,5416.212653909197
FDS49,OUT027,2294.745394433271
FDD48,OUT010,149.9199052608501
NCF18,OUT017,3014.1928251370387
NCD43,OUT027,2806.0315400022814
NCD54,OUT018,1952.795941222414
FDY19,OUT010,249.4280540697465
NCY54,OUT017,2486.7747704356416
NCL19,OUT018,1968.5390918582707
FDP23,OUT010,620.130403721158
FDC26,OUT013,1899.1623532894323
FDR14,OUT010,84.5514989546856
NCS41,OUT035,3289.888830476412
FDF41,OUT035,4032.6796338362724
FDU34,OUT046,1915.3028047560515
DRH11,OUT046,1013.0219293623197
FDM03,OUT013,2054.6770050203054
FDS31,OUT017,3255.8910026630742
FDJ20,OUT017,2113.3966667339696
FDV44,OUT027,5221.207637659631
FDG02,OUT049,3133.211537177089
FDA09,OUT013,3041.06119808541
FDT04,OUT013,485.2150944385646
FDL58,OUT019,511.42894217281355
FDE52,OUT045,1331.1697979378573
FDW12,OUT035,2520.31480490651
FDL51,OUT017,3813.7049095132493
NCY42,OUT027,3729.8162889237765
