Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1387.8380617499352
FDW14,OUT017,1632.1826395392418
NCN55,OUT010,1210.8295511603355
FDQ58,OUT017,2786.2503885626793
FDY38,OUT027,6387.08045142889
FDH56,OUT046,1979.7375101447105
FDL48,OUT018,761.8278955817223
FDC48,OUT027,1688.5518545508385
FDN33,OUT045,1485.7025064826012
FDA36,OUT017,3241.782004773617
FDT44,OUT017,1878.439292371273
FDQ56,OUT045,1089.353614270687
NCC54,OUT019,657.7049784064293
FDU11,OUT049,2383.5056671500206
DRL59,OUT013,744.4754275679588
FDM24,OUT049,3209.831782758236
FDI57,OUT045,2805.044700086117
DRC12,OUT018,2807.632407605648
NCM42,OUT027,2947.6088003516197
FDA46,OUT010,767.8102030158043
FDA31,OUT013,3080.744742810726
NCJ31,OUT035,2086.5899881720543
FDG52,OUT046,603.8309091925621
NCL19,OUT019,163.40596717596054
FDS10,OUT035,3245.5621561408043
FDX22,OUT010,645.1557230353355
NCF19,OUT035,1184.8256677985191
NCE06,OUT046,2434.208854138851
DRC27,OUT046,3912.7055277228355
FDE21,OUT035,1932.6060709357262
NCR42,OUT019,122.8178945183754
FDX51,OUT018,2650.1991800665855
NCR06,OUT018,692.7878221869469
FDU31,OUT027,6005.752639234066
FDU59,OUT017,2373.4196390509605
FDR03,OUT027,5779.842917859554
FDS49,OUT027,2330.80461448431
FDD48,OUT010,1.1476827263832092
NCF18,OUT017,2983.7481912970543
NCD43,OUT027,2780.164733350277
NCD54,OUT018,2184.8343729376793
FDY19,OUT010,220.33553260564804
NCY54,OUT017,1850.1523050665855
NCL19,OUT018,1934.6554788947105
FDP23,OUT010,980.5118631720543
FDC26,OUT013,2448.211692273617
FDR14,OUT010,403.31285041570663
NCS41,OUT035,3364.6745218634605
FDF41,OUT035,4374.776755750179
FDU34,OUT046,2225.265708386898
DRH11,OUT046,312.6442751288414
FDM03,OUT013,2137.408011853695
FDS31,OUT017,3335.745139539242
FDJ20,OUT017,2068.6258768439293
FDV44,OUT027,5183.159293591976
FDG02,OUT049,3293.5984520316124
FDA09,OUT013,3340.1242746710777
FDT04,OUT013,446.35284465551376
FDL58,OUT019,670.8468851447105
FDE52,OUT045,1047.36577552557
FDW12,OUT035,2714.2885355353355
FDL51,OUT017,3892.4303202033043
NCY42,OUT027,3931.2825312018394
FDR07,OUT017,1344.9200357794762
FDN40,OUT045,2319.498069226742
FDB35,OUT027,2221.195697247982
FDA22,OUT017,3550.4288553595543
NCL06,OUT046,3559.1920999884605
FDI35,OUT013,2525.104834973812
NCW42,OUT045,3179.9864725470543
NCX06,OUT049,3534.3895639777184
FDC37,OUT027,2426.5067667365074
FDZ14,OUT018,1637.2929911017418
DRG49,OUT049,4934.003745496273
NCG06,OUT045,3702.8092264533043
DRC36,OUT045,2830.622580945492
FDV21,OUT019,148.57847541570663
FDB53,OUT046,2105.2674784064293
DRP47,OUT019,117.41884559392929
FDA14,OUT013,2354.649108350277
DRC24,OUT035,2483.528586804867
FDW21,OUT018,1579.1060709357262
NCH29,OUT046,2316.068381726742
FDU58,OUT013,2913.1740183234215
FDY27,OUT017,2934.7965311408043
FDV56,OUT035,2043.1215128302574
FDT59,OUT046,5309.8698343634605
FDB23,OUT046,4365.3744730353355
FDR49,OUT045,700.1881555914879
FDB03,OUT010,796.9897684454918
FDN39,OUT045,2481.817405164242
FDX02,OUT027,5907.156531751156
FDQ16,OUT027,2720.0325674414635
FDU35,OUT018,1827.9321054816246
NCT29,OUT013,1562.9306406378746
FDZ27,OUT046,1010.849261701107
FDN57,OUT017,2470.2636331915855
FDA03,OUT018,1938.6077799201012
FDZ36,OUT045,3244.557944715023
NCU05,OUT013,951.9549364447594
FDT39,OUT018,1937.36724036932
FDK60,OUT017,1311.5953287482262
FDZ25,OUT017,3276.4481424689293
FDG12,OUT046,2447.5487894415855
DRB01,OUT019,324.62471717596054
