Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1666.008192333507
FDW14,OUT017,1346.5117616639714
NCN55,OUT010,3748.427398299373
FDQ58,OUT017,2399.6723079313533
FDY38,OUT027,3631.4095598252193
FDH56,OUT046,1810.449121904929
FDL48,OUT018,767.6842165684758
FDC48,OUT027,1249.1405025194852
FDN33,OUT045,1477.5273213198068
FDA36,OUT017,2895.1667529252363
FDT44,OUT017,1829.07231228598
FDQ56,OUT045,1316.5099792645665
NCC54,OUT019,3727.6765542987064
FDU11,OUT049,1890.712055160693
DRL59,OUT013,797.6455611066891
FDM24,OUT049,2346.8324657728576
FDI57,OUT045,3080.0051058269923
DRC12,OUT018,2978.0083774831364
NCM42,OUT027,1694.4546723793917
FDA46,OUT010,3001.257037063557
FDA31,OUT013,2710.3284000234803
NCJ31,OUT035,3719.900042531105
FDG52,OUT046,730.9293113500862
NCL19,OUT019,2202.351098340245
FDS10,OUT035,2799.3507961342702
FDX22,OUT010,3246.6713060302177
NCF19,OUT035,728.8016577304705
NCE06,OUT046,2498.517993706977
DRC27,OUT046,3793.9417663727886
FDE21,OUT035,1801.1173077838077
NCR42,OUT019,487.5213824194663
FDX51,OUT018,3020.4121408495116
NCR06,OUT018,648.0472489309942
FDU31,OUT027,3375.108174383917
FDU59,OUT017,2543.0898485541593
FDR03,OUT027,3178.318878197712
FDS49,OUT027,1238.3342617672267
FDD48,OUT010,1761.7432734020902
NCF18,OUT017,2976.9445506733286
NCD43,OUT027,1596.5514998300014
NCD54,OUT018,2218.395597419159
FDY19,OUT010,1802.6321722761365
NCY54,OUT017,2693.751987539662
NCL19,OUT018,2241.23365717825
FDP23,OUT010,3366.799749211412
FDC26,OUT013,1733.2967933562054
FDR14,OUT010,856.747050540457
NCS41,OUT035,2838.6843926547963
FDF41,OUT035,3847.8454353410916
FDU34,OUT046,1931.0690406298354
DRH11,OUT046,875.9021543264121
FDM03,OUT013,1647.8360396349767
FDS31,OUT017,2804.016703194831
FDJ20,OUT017,1891.163092843214
FDV44,OUT027,2923.5727951099293
FDG02,OUT049,2925.1280974634496
FDA09,OUT013,2782.774383650452
FDT04,OUT013,585.3841171076649
FDL58,OUT019,4082.8640633768237
FDE52,OUT045,1390.5517031062495
FDW12,OUT035,2241.1932193170583
FDL51,OUT017,3332.132059751446
NCY42,OUT027,2186.7980748050427
FDR07,OUT017,1494.1037338036251
FDN40,OUT045,2363.368440395485
FDB35,OUT027,1394.1133454958108
FDA22,OUT017,2567.3618970831953
NCL06,OUT046,4072.0173847633737
FDI35,OUT013,2807.6187834455836
NCW42,OUT045,3435.684090448822
NCX06,OUT049,2789.487068608245
FDC37,OUT027,1671.1655749377799
FDZ14,OUT018,1891.7354441093094
DRG49,OUT049,3802.782104950197
NCG06,OUT045,3974.114212213983
DRC36,OUT045,2690.069031566526
FDV21,OUT019,1930.5371272249315
FDB53,OUT046,2300.213833028443
DRP47,OUT019,3914.602122958886
FDA14,OUT013,2246.350601921331
DRC24,OUT035,2363.368440395485
FDW21,OUT018,1553.6158230587225
NCH29,OUT046,1502.863196658651
FDU58,OUT013,2923.1217574274083
FDY27,OUT017,2751.176861036335
FDV56,OUT035,1683.0760803610376
FDT59,OUT046,3574.435724011067
FDB23,OUT046,3495.7280931088235
FDR49,OUT045,707.5593381860915
FDB03,OUT010,3756.203910066974
FDN39,OUT045,2566.8299836782917
FDX02,OUT027,3458.932750029242
FDQ16,OUT027,1664.9039276625076
FDU35,OUT018,1535.4841082213838
NCT29,OUT013,1888.092925997365
FDZ27,OUT046,737.0696450417839
FDN57,OUT017,2172.3088780796484
FDA03,OUT018,2253.103724740316
FDZ36,OUT045,2876.994600226706
NCU05,OUT013,1250.7362427341968
FDT39,OUT018,2339.055954005257
FDK60,OUT017,1500.2845053565145
FDZ25,OUT017,2621.2251281903073
FDG12,OUT046,1887.6014504536527
DRB01,OUT019,2967.653174413399
NCC43,OUT027,3886.11520505181
FDX13,OUT019,3855.0495958425972
FDM22,OUT049,813.7304980467951
FDJ03,OUT027,748.4886749213293
FDU14,OUT018,3873.181310679936
FDB33,OUT010,2461.763088488587
FDP27,OUT046,2953.6554532317173
FDO38,OUT010,1181.3199880918828
FDE28,OUT027,3597.76525931387
FDO27,OUT035,1471.7975874494384
DRL23,OUT027,1654.0572490490576
FDS28,OUT046,858.7533905764982
FDX24,OUT013,1427.7980838683516
FDZ02,OUT035,1487.310173123449
FDL46,OUT045,1807.2980793366971
FDS60,OUT027,2768.7766624687697
NCO06,OUT017,502.54249254976446
FDO16,OUT035,1304.5994738413087
FDC60,OUT049,1347.0032372076837
FDA48,OUT018,3413.377944094635
FDZ36,OUT027,2887.8817167013476
FDK27,OUT045,1865.2953040994657
FDW23,OUT018,592.1372399266497
FDM14,OUT018,1701.2077951983763
FDM14,OUT013,1671.6570504814922
FDW60,OUT018,2754.327903604567
FDE21,OUT013,1799.5620054302876
NCM42,OUT035,1689.7887653188309
FDY59,OUT010,1449.5723168176346
DRI49,OUT049,1253.3149340363334
FDT28,OUT019,2341.1431697636813
FDQ22,OUT018,604.0477453499075
FDR60,OUT049,1178.7412967897462
FDC50,OUT019,1461.4423843797008
FDV24,OUT013,2349.451594936186
DRF48,OUT010,2918.455850366848
FDQ47,OUT046,557.4695504666843
DRN36,OUT049,1502.9036345198426
NCY06,OUT035,1988.4939141265086
FDE52,OUT035,1381.2198889851284
NCB54,OUT045,1962.6261253827604
NCF31,OUT035,2361.853575903156
FDJ08,OUT027,2940.149207593748
NCC07,OUT017,1638.544663375047
NCD19,OUT027,824.5771766602451
FDL46,OUT049,1838.4041264071013
FDM20,OUT045,3817.8032150804956
NCI06,OUT010,2795.2168024786138
DRM11,OUT035,4021.756233907015
NCH07,OUT018,2452.96318777237
FDS23,OUT013,2002.532073169382
FDO49,OUT018,752.0907551720821
FDS35,OUT049,1003.7666714140156
DRK39,OUT045,1271.9381244173844
DRI39,OUT049,895.057258112367
FDV04,OUT017,2446.2505028145765
NCN14,OUT035,2827.7972761801548
FDH08,OUT013,3582.744149183572
FDS20,OUT046,2835.0823124040435
FDV40,OUT049,1161.1819332185032
FDZ48,OUT010,1707.8800422949782
FDS24,OUT027,1350.1138419147242
FDK44,OUT049,2700.464672497455
FDS48,OUT045,2328.7007509355194
FDK26,OUT010,2895.658228468949
FDD23,OUT045,2921.5664550738884
NCH54,OUT017,2500.1137339216884
